text,x,y,z,location
Oh god do you have to install glad to make it out loud,133.946,91.07301,-126.92567,bus stop
that's grossly you have such a shitty car,-98.46623,-29.351873,-154.2168,bus stop
who is the one you are like I'm not ready,52.880997,190.58672,7.7039256,bus stop
Right later Play a should be a major minority wouldn't have the time to look up,-83.09325,-94.714195,40.127106,bus stop
yet wait support here click but,-80.24596,67.22373,92.33187,bus stop
How did it go for the vegan chili know I love you soundlike a little no no,-67.012566,-105.331245,180.75604,bus stop
Select relatable Y,-29.06045,77.601364,159.35973,bus stop
Who is still more important today,27.058216,-15.820975,-34.92592,on the way to the library
Late-night,0.25858918,113.978264,-19.692467,on the way to the library
Are you free download during normal time today have,-62.76793,-120.49092,-38.459545,on the way to the library
Library during the week of finals week and you guys think you're the only,9.2804365,125.20694,-166.24458,on the way to the library
my like the relax setting towards like you believe it,-51.640842,-39.852623,-80.75053,on the way to the library
Hello really fucked up your face,-60.944355,-194.74364,25.788652,on the way to the library
No no I have a bar but we can go to events and have a,125.93546,12.326926,-55.47847,on the way to the library
It's up to you I'll if I catch a bike ride in front of boat for,-0.66742796,208.66177,-80.6428,on the way to the library
I left my bike on campus about like a week ago I never got yeah,-137.59436,-138.69481,102.85758,on the way to the library
got yeah relax final,41.186832,51.265507,130.29515,on the way to the library
Thank you,18.712387,-78.782745,-82.93855,on the way to the library
Alright,13.580683,116.28504,53.50808,on the way to the library
Hey is okay pointing,169.79941,-37.827633,-127.77995,on the way to the library
well of course,85.343285,100.90393,87.74706,on the way to the library
Oh yeah because in college you like it's a really homogenous it's like population,77.85199,23.984104,23.16306,on the way to the library
and I guess we have worked voice,175.61465,-46.30266,-32.82648,on the way to the library
no you never have a class at all,-186.26712,-51.65835,82.605034,on the way to the library
they have here and Atlanta,-145.25612,-132.82306,-3.5302596,on the way to the library
and they have comparable food but even call has yet though of,-53.75634,-16.706234,11.203154,on the way to the library
some people walk all the way from our coatings with just forgot the food,6.3928595,8.529957,-134.7555,on the way to the library
it's only oh fuck where is this,-111.27864,-8.9074,72.39356,on the way to the library
LOL oh yeah oh look that's the concert hall like if you go from Armand bought it like that I can't pronounce it,94.81746,1.8439761,209.9407,on the way to the library
Yeah I have for Aylor and like I feel so much thrillers agriculture I don't like so,-123.46488,135.47224,-101.33634,on the way to the library
I I want to have for either next quarter food that's left of the same,-71.69614,199.06416,-20.96449,on the way to the library
professor had last quarter that I filled,177.20813,99.53585,-1.346544,on the way to the library
I'm sorry the plenty of people in the house without help you with Foret but you know what everything is everything,-146.12044,87.62784,156.13583,on the way to the library
I'm not no or you don't know that's not true no not OK better at knowing it but if I do you like the problem correctly,73.22983,-18.50017,96.80332,on the way to the library
oh so you don't practice problems of you telling a correct have you don't like any problems on concepts,-50.271744,-20.328344,-214.60248,on the way to the library
like for example there are problems that like do act like computer there's also a really good like it was on the verge like the windows there but she was like the problemn't you love numbers or variables what,-128.76547,14.797096,-78.933426,on the way to the library
Both toe fracture of the like are per frog for used wooden toys instead of nails or maybe ,-153.90608,-105.33844,-104.178696,on the way to the library
the fuck no,57.47703,134.50847,-74.7298,on the way to the library
you're not that work there snow under,21.571293,-136.85103,-22.273405,on the way to the library
go to class or pajama clothes because we're not doing that leaves you think where it's,-10.104032,-215.32,-69.963326,on the way to the library
Today Yep with a little food squarely on how the Aon the Arley yo what is up it's probably like in the house don't have any photos they say snow outside does light wiring probably via blissfully Soleil Siri roll,121.03065,52.050014,101.94103,on the way to the library
If you want something Pfizer go to Woodstock I meant that the kind a have some hot sauce because the old one because I really started not a good source will order like I never come here are you I just like on her last night is that makes two of us four score is really nice but it's kind of hard to fine I'll let everyone says that it's like the fourth or because the skylight girl,-2.3111005,40.255028,44.945107,on the way to the library
I like what is there something wrong with that word,-203.64433,19.07879,-39.510166,library
it's where you have a hole in the ceiling and you can have lights it's like sunlight through the window,91.08153,-56.65676,9.973236,library
overnight enough in place upstairs have let it go to air circulation,46.448444,52.310165,-77.17364,library
but it's also hard to find but would believe him twice OK thank you,-46.070312,-129.81424,-133.51562,library
It was who can see all the places are taken,38.893044,38.162956,-213.32324,library
great relatable,-44.455235,82.65461,-99.20074,library
cute that work is easy would you prefer a more up and move later though,-203.05354,56.537914,60.549236,library
I think that like you just have to be in the same place the city the whole time did you ground way home or when do pungle like nine OK yeah I'm down to move once because it kind of reminds you,91.11557,-9.285934,-149.6908,library
yeah are you down to go to motion so would it be better if we just move the motor right now,183.27,75.2438,146.85364,library
or without remote to quite I think that's a pretty good spot oh yeah but it's nice like if we staying with us I'm sorry,218.91698,27.20831,-56.979042,library
were rude protection against team,63.895645,-121.88076,58.47366,library
You got those I hate you don't work you don't basically laugh we cannot imagine I am Kurt thank you can you turn it off I need,96.621864,-178.52019,-74.676155,library
And that's not my lifestyle being straight is a lifestyle,-115.18315,-18.028446,169.52904,library
The life and finally broke up with someone sorry for what boyfriends this broke up with her,-171.31332,50.338966,-151.08676,library
Oh no tonight I have two new probe with if you want that kind of taste like that I,-121.84289,49.98025,6.9915843,library
I got hot water,72.93351,-79.06238,153.42975,library
but the arbor like those machines that they coffee,-34.288548,-3.468989,107.7992,library
I don't know if they give out hot water,129.02304,155.61801,50.557163,library
the probably the 20th before,3.9200537,-64.52236,30.658,library
oh yeah for sure just because I'm saying for you later,102.26601,-72.42529,-77.62281,library
but knowing is going to hurt,-41.948997,46.60453,-31.46801,library
I I got hot water but the arbor night and you know the café downstairs to have like those machine that makes coffee I don't know if they give out hot water the problem 20 40 yeah for sure just because I'm saying for you later,76.85271,144.23999,160.15404,library
I am getting awesome so eat it,140.77061,-136.34428,-22.78064,library
Perfect I do you want to make a video that's the self hopeful it's OK,59.51076,-218.91843,22.817356,library
Actually it's a bus without right to you're both thank you yes,37.399178,-104.35493,-169.24742,library
Cysts,-54.75523,115.42933,28.352182,library
Wow,77.59444,95.96386,-7.407828,home
What oh cool insert,152.81282,-100.01182,61.562256,home
oh only throw those,4.5606093,-66.96382,110.257416,home
also that,-112.35236,-44.818512,-31.191713,home
a few dishes yeah,-36.322956,-135.92845,97.087166,home
same I did some dishes from the pizza thing,7.3060555,-21.944195,195.00809,home
but it wasn't enough,-137.09352,127.21652,2.1582367,home
OK the third is still not home,148.1148,-34.165134,113.23371,home
oh it smells kind of burnt,161.50243,8.785628,31.243141,home
Thank you friend.,-37.798016,155.18196,100.72697,home
Are you going to sleep soon?,56.557888,-178.22325,119.72235,home